Id,Prediction
0,4029154.7249075556
1,3882404.1908016214
2,4185431.415423445
3,4004221.94413212
4,4119210.3120451123
5,4422840.52699887
6,4121140.168623643
7,4303952.839102272
8,4559917.855559017
9,4304173.680660403
10,4358707.524297248
11,4499109.039570575
12,4169750.976267588
13,4253128.852506206
14,4357660.482309632
15,4776340.542792748
16,4400068.872372991
17,4124320.6811643685
18,4879371.9180138875
19,4125889.896868448
20,3895426.040487996
21,5007092.436966358
22,4309597.673684455
23,4739539.194037168
24,4344045.89817397
25,3984001.1175455516
26,3716109.8334377944
27,4398817.733752596
28,4306735.919260562
29,4460336.861434693
30,4431450.043306039
31,4189752.934023023
32,4343755.492437266
33,4492788.938118579
34,3782771.409262847
35,4418122.332232204
36,4378528.839885363
37,4480786.08989855
38,3641123.01181527
39,4245198.197588191
40,4421702.847374505
41,4348182.851150138
42,4313751.795061589
43,4503346.978689003
44,4673878.109083535
45,4105416.990424546
46,4167739.3099192632
47,3617722.82728503
48,4434513.576963056
49,4290628.391295308
50,4021693.6828812766
51,3959263.9951005676
52,4712203.026468663
53,3812624.774345772
54,3671775.7977948575
55,4466370.463302161
56,4817797.570824674
57,4403931.8740363885
58,4142610.8190852706
59,4537357.656552958
60,3474114.1817110735
61,4484033.434934488
62,4301387.579683194
63,4265569.230537492
64,4250921.69630214
65,4801250.272623497
66,4576882.466618439
67,4783861.351209678
68,4386138.018097375
69,4582613.529405369
70,4097798.0596678387
71,4049281.38659413
72,4389587.360697502
73,4337795.745962974
74,4323586.304236382
75,4438420.945551913
76,4511883.617209872
77,4195813.121971781
78,4480162.127978064
79,4232067.367067664
80,4705002.209089874
81,4616048.342021638
82,4101199.108847572
83,4342629.73225828
84,4926733.315255555
85,2693156.1410350604
86,4398607.101017395
87,4867088.630597575
88,4629723.02220299
89,4171501.5533885173
90,4746526.338521834
91,4101992.2075693174
92,3883273.021637488
93,4276745.039986979
94,5517754.527619525
95,4193041.396982458
96,4558340.999891625
97,4771545.29667545
98,4297567.862007667
99,4568134.445248826
100,5285076.291361789
101,3201427.479156935
102,4215238.542639665
103,4142448.699538427
104,4273241.237845164
105,4049603.3871034863
106,4529390.360993014
107,5383544.174800847
108,4799870.655869548
109,4529675.202931777
110,4580125.295699188
111,4267170.638436214
112,4238849.079422684
113,4410993.746150743
114,3972773.162832788
115,4238190.448538725
116,4161082.294227191
117,4479446.871424644
118,4008486.081558839
119,4532132.271366896
120,4470890.077626299
121,4769249.601817222
122,4513661.075227432
123,4531342.105812112
124,4117373.2490347074
125,4185724.5544817806
126,4458761.205780745
127,4001384.0450487193
128,4163342.518294334
129,4263746.581966858
130,3468855.5590423658
131,4359180.469073716
132,5107359.578780217
133,4081704.063639846
134,4196195.70893606
135,4102614.757388919
136,4344016.182008068
137,4242727.565653151
138,4313887.973123585
139,4394657.9266900355
140,4903795.02011698
141,3705686.108699641
142,4532467.410523671
143,4099825.2616789937
144,4648103.34454553
145,4270040.631292698
146,4429140.3728816705
147,3898474.5565277166
148,4129809.9990682127
149,4237810.982557959
150,4363091.732039512
151,3939238.6736599784
152,5249538.700981312
153,4808028.076349606
154,3939619.575026304
155,4323844.026671156
156,4822208.943461826
157,4628420.375708156
158,4276126.528179475
159,4246738.283266244
160,4336580.006439009
161,4419232.186783925
162,4164941.0576977683
163,4678888.778204752
164,4704595.416866413
165,4329027.841171213
166,4304945.101692617
167,4187172.545961621
168,4664002.773158271
169,4579571.600121464
170,4285195.928198794
171,4073433.087593906
172,4206289.030388643
173,4737396.453363274
174,4931285.765300508
175,4082700.419878059
176,5520668.402687226
177,4394757.167646199
178,4180547.6911272737
179,4475264.567556221
180,4159517.726528024
181,4372585.5424311
182,4665136.7411483675
183,4124746.632096814
184,4248185.634088183
185,3534429.0951912645
186,4094479.342093221
187,4719044.231664406
188,4951157.797141245
189,4628242.024243608
190,4503746.296683373
191,4547105.428662325
