Id,Prediction
0,4057172.499924866
1,3692215.5485761343
2,4164857.7100185687
3,4025641.7045371137
4,4247730.287999205
5,4305391.624113109
6,4043297.502352664
7,4511366.851953396
8,5026307.418100682
9,4306352.905685379
10,4309208.612642875
11,4772624.777940795
12,4823819.826867272
13,4321401.146489701
14,4181223.7447439576
15,4517675.278439417
16,4424956.780346383
17,4143546.810110772
18,5293545.046969197
19,4170896.5700181685
20,4069585.4476627093
21,4820623.593210175
22,4287089.098723857
23,5210310.608776038
24,4729068.498632064
25,3969367.1248438964
26,3661295.8182106786
27,4262167.437389405
28,4343467.325023954
29,4263421.858735984
30,4291509.461853903
31,4329070.048934686
32,4219576.074787841
33,4711912.213812029
34,3903456.4768022113
35,4464251.002756412
36,4177885.8428306314
37,4741623.197359476
38,3705038.999300293
39,4268371.720727774
40,4225690.29219573
41,4345069.026917374
42,4437168.304952486
43,4448277.640748294
44,4946773.069015042
45,4486704.471211642
46,4175465.083049513
47,3833499.6461378844
48,4276656.130461773
49,4247241.0862131305
50,4497498.731885957
51,4332809.749233711
52,4335987.16163292
53,4035027.4760849425
54,3771153.77904426
55,4914660.938829584
56,4778568.275997371
57,4524656.583455554
58,4295804.14086536
59,4308181.070263625
60,3552664.7281133216
61,4317001.839085532
62,4280574.673994925
63,4330199.307101842
64,4277985.733577606
65,6009601.300786904
66,4415377.2197694
67,5372443.517402549
68,4639967.929885015
69,4522312.099515192
70,3945448.536537468
71,3989664.291271104
72,4165130.9065911598
73,4109853.580288512
74,4593177.771783199
75,4211123.452290062
76,4650646.692828459
77,4290007.957981414
78,4316227.500824817
79,4219253.276182174
80,4870649.480166374
81,4477527.68203697
82,4093407.2842648043
83,4264171.533693146
84,6692796.347798018
85,3317451.1729689823
86,4617902.288714367
87,5002373.35980223
88,4420028.290166648
89,4429898.968646175
90,4736768.828328972
91,4175247.235529593
92,3759567.91918551
93,4273369.752284189
94,5400441.590822326
95,4322127.631426338
96,4267744.322547883
97,4268059.256610701
98,4235526.6053762585
99,4451532.099092783
100,4977712.976481406
101,3403018.329467132
102,4284076.756297966
103,4253366.17291184
104,4269601.428142738
105,4149437.326842401
106,4389405.517768996
107,4980106.500992805
108,4758220.288833246
109,4822522.586196311
110,4706018.501426782
111,4395699.662407991
112,4671636.177685779
113,4483962.836826361
114,4069277.856302603
115,4597738.426679266
116,4013386.339722993
117,4407150.960533539
118,3898827.0108016324
119,4534272.80737246
120,4366538.721808829
121,4224510.234515652
122,4090882.510112409
123,4701722.882775315
124,4125937.353874968
125,4298747.801869298
126,4379105.833140897
127,3968226.817666005
128,4759192.009622781
129,4198938.14765644
130,3633092.101933579
131,4240626.350999277
132,4513744.49256568
133,4166973.015578965
134,4165988.750721712
135,4304800.233615283
136,4230342.824766675
137,4163427.9489727044
138,4285096.374307184
139,4214700.374079083
140,5369557.342730714
141,3993372.579466108
142,4521283.774445192
143,4109469.232897092
144,4521241.670467649
145,4482378.59535465
146,4228435.00884864
147,4144450.6376219722
148,4424737.34999041
149,4357814.823650657
150,4243202.794684637
151,4133357.539486783
152,5318909.37309553
153,5055524.2233514115
154,4050898.277943366
155,4458283.04762379
156,4911710.1847936
157,5519981.292593953
158,4318432.2647293545
159,3985307.6905047502
160,4285380.5971915405
161,4373629.067543004
162,4179156.192043357
163,5827822.543569122
164,5313276.744430964
165,4192667.2379657347
166,4531946.4963776935
167,4281296.126983731
168,4524228.859817422
169,4381477.357924824
170,4107497.8283139113
171,4117583.424236047
172,4453810.9929874195
173,4973472.071812552
174,4434966.522980663
175,3885758.559637224
176,6389346.456045919
177,4455650.452572262
178,4259336.79449578
179,4243686.003982866
180,4220831.849941899
181,4375297.447123303
182,4577065.033406497
183,3963150.35522763
184,4393442.888692868
185,3634961.0135576734
186,4182201.261563897
187,4363350.208918139
188,4967396.676690575
189,4475306.988493899
190,4376359.328390802
191,4419689.953090734
192,4696142.3180697085
193,4418598.7042923365
194,4495492.191255906
195,4516254.770748321
196,4498804.222770829
197,3455141.520963957
198,4185476.9436472286
199,4418699.974515948
200,4299292.855379196
201,4032860.89632276
202,4454518.809484412
203,4764503.277839203
204,4896376.026085281
205,4904387.764949044
206,4421400.256152773
207,4277443.452245251
208,4435170.413331193
209,3917166.3805950326
210,4265449.535405238
211,4323200.693436186
212,4518742.856432151
213,3964113.515916137
214,5472065.832603827
215,3373323.866064883
216,4271839.814929214
217,4574830.347230329
218,4352493.845605858
219,3873005.782287505
220,5170874.070601315
221,4393185.449437147
222,4485042.705250259
223,4053306.599137138
224,4451579.962330172
225,4278503.867373372
226,4613774.9540664
227,4884111.050094564
228,3962955.3357642973
229,4571893.421588009
230,4660037.456255269
231,4934465.3595621465
232,4195615.25977295
233,4207363.219673077
234,4242225.20250888
235,4437492.99345985
236,4340776.121717066
237,3853830.4609188065
238,4612047.767734091
239,4440882.924690224
240,4195707.458220129
241,4117090.046626959
242,3855086.5800055424
243,4412982.263501753
244,4374829.2127460325
245,4561618.070425194
246,4197183.026972269
247,4416049.232530879
248,4723643.8310166765
249,4371286.335769316
250,4322478.973208659
251,4598133.991093943
252,5000431.078656631
253,4181877.217188984
254,4443321.534432853
255,4348613.670342078
256,4484599.216260645
257,4810182.68520703
258,3971494.0426140064
259,4526673.874335497
